category_class	count_descendants
MONDO:0800472	2
MONDO:0800470	1
MONDO:0800469	4
MONDO:0800468	7
MONDO:0800467	2
MONDO:0800466	5
MONDO:0800465	3
MONDO:0800464	3
MONDO:0800463	3
MONDO:0800462	5
MONDO:0800461	5
MONDO:0800460	2
MONDO:0800459	0
MONDO:0800458	0
MONDO:0800457	0
MONDO:0800456	0
MONDO:0800455	0
MONDO:0800453	0
MONDO:0800452	0
MONDO:0800451	1
MONDO:0800450	2
MONDO:0800449	2
MONDO:0800448	9
MONDO:0800446	0
MONDO:0800445	0
MONDO:0800444	2
MONDO:0800443	0
MONDO:0800442	0
MONDO:0800441	0
MONDO:0800440	0
MONDO:0800439	1
MONDO:0800438	0
MONDO:0800437	0
MONDO:0800436	0
MONDO:0800435	0
MONDO:0800434	0
MONDO:0800433	0
MONDO:0800424	0
MONDO:0800423	0
MONDO:0800420	0
MONDO:0800419	0
MONDO:0800418	0
MONDO:0800412	0
MONDO:0800408	0
MONDO:0800407	1
MONDO:0800406	3
MONDO:0800405	1
MONDO:0800404	1
